Date,Prix,Variation 24h
2013-08-13,1 BTC = 77.70000000€,1.03%
2013-08-14,1 BTC = 79.11000000€,1.78%
2013-08-15,1 BTC = 80.60000000€,1.85%
2013-08-16,1 BTC = 82.77000000€,2.62%
2013-08-17,1 BTC = 82.24000000€,-0.64%
2013-08-18,1 BTC = 81.77000000€,-0.57%
2013-08-19,1 BTC = 82.75000000€,1.18%
2013-08-20,1 BTC = 83.41000000€,0.79%
2013-08-21,1 BTC = 88.00000000€,5.22%
2013-08-22,1 BTC = 89.90000000€,2.11%
2013-08-23,1 BTC = 89.83000000€,-0.08%
2013-08-24,1 BTC = 89.99000000€,0.18%
2013-08-25,1 BTC = 87.50000000€,-2.85%
2013-08-26,1 BTC = 88.30000000€,0.91%
2013-08-27,1 BTC = 89.95000000€,1.83%
2013-08-28,1 BTC = 88.70000000€,-1.41%
2013-08-29,1 BTC = 96.25000000€,7.84%
2013-08-30,1 BTC = 95.20000000€,-1.1%
2013-08-31,1 BTC = 95.27000000€,0.07%
2013-09-01,1 BTC = 101.36000000€,6.01%
2013-09-02,1 BTC = 105.32000000€,3.76%
2013-09-03,1 BTC = 108.36000000€,2.81%
2013-09-04,1 BTC = 106.15000000€,-2.08%
2013-09-05,1 BTC = 107.25000000€,1.03%
2013-09-06,1 BTC = 100.10000000€,-7.14%
2013-09-07,1 BTC = 99.30000000€,-0.81%
2013-09-08,1 BTC = 93.70000000€,-5.98%
2013-09-09,1 BTC = 97.81000000€,4.2%
2013-09-10,1 BTC = 96.00000000€,-1.89%
2013-09-11,1 BTC = 99.20000000€,3.23%
2013-09-12,1 BTC = 99.03000000€,-0.17%
2013-09-13,1 BTC = 105.17000000€,5.84%
2013-09-14,1 BTC = 104.00000000€,-1.13%
2013-09-15,1 BTC = 104.80000000€,0.76%
2013-09-16,1 BTC = 101.98000000€,-2.77%
2013-09-17,1 BTC = 102.96000000€,0.95%
2013-09-18,1 BTC = 104.77000000€,1.73%
2013-09-19,1 BTC = 103.33000000€,-1.39%
2013-09-20,1 BTC = 103.43000000€,0.1%
2013-09-21,1 BTC = 100.01000000€,-3.42%
2013-09-22,1 BTC = 98.50000000€,-1.53%
2013-09-23,1 BTC = 98.98000000€,0.48%
2013-09-24,1 BTC = 99.19000000€,0.21%
2013-09-25,1 BTC = 98.65000000€,-0.55%
2013-09-26,1 BTC = 97.30000000€,-1.39%
2013-09-27,1 BTC = 100.73000000€,3.41%
2013-09-28,1 BTC = 98.80000000€,-1.95%
2013-09-29,1 BTC = 101.00000000€,2.18%
2013-09-30,1 BTC = 103.53000000€,2.44%
2013-10-01,1 BTC = 104.49000000€,0.92%
2013-10-02,1 BTC = 102.79000000€,-1.65%
2013-10-03,1 BTC = 102.40000000€,-0.38%
2013-10-04,1 BTC = 89.93000000€,-13.87%
2013-10-05,1 BTC = 94.10000000€,4.43%
2013-10-06,1 BTC = 99.49000000€,5.42%
2013-10-07,1 BTC = 99.58000000€,0.09%
2013-10-08,1 BTC = 98.55000000€,-1.05%
2013-10-09,1 BTC = 99.45000000€,0.9%
2013-10-10,1 BTC = 99.64000000€,0.19%
2013-10-11,1 BTC = 101.51000000€,1.84%
2013-10-12,1 BTC = 102.21000000€,0.68%
2013-10-13,1 BTC = 102.01000000€,-0.2%
2013-10-14,1 BTC = 102.10000000€,0.09%
2013-10-15,1 BTC = 105.63000000€,3.34%
2013-10-16,1 BTC = 108.44000000€,2.59%
2013-10-17,1 BTC = 113.89000000€,4.79%
2013-10-18,1 BTC = 111.97000000€,-1.71%
2013-10-19,1 BTC = 113.43000000€,1.29%
2013-10-20,1 BTC = 119.96000000€,5.44%
2013-10-21,1 BTC = 130.51000000€,8.08%
2013-10-22,1 BTC = 132.99000000€,1.86%
2013-10-23,1 BTC = 138.84000000€,4.21%
2013-10-24,1 BTC = 145.94000000€,4.87%
2013-10-25,1 BTC = 164.55000000€,11.31%
2013-10-26,1 BTC = 146.97000000€,-11.96%
2013-10-27,1 BTC = 142.87000000€,-2.87%
2013-10-28,1 BTC = 139.85000000€,-2.16%
2013-10-29,1 BTC = 147.24000000€,5.02%
2013-10-30,1 BTC = 148.53000000€,0.87%
2013-10-31,1 BTC = 154.93000000€,4.13%
2013-11-01,1 BTC = 151.38000000€,-2.35%
2013-11-02,1 BTC = 152.83000000€,0.95%
2013-11-03,1 BTC = 153.39000000€,0.37%
